id,codigo_120,name
1837,30193000-8,Classificadores e acessórios
1838,30193100-9,Classificadores para gavetas
1839,30193200-0,Classificadores ou tabuleiros para secretárias
1840,30193300-1,Classificadores suspensos
1841,30193400-2,Anteparos para livros
1842,30193500-3,Escaparates
1843,30193600-4,Apoio para diários ou calendários
1844,30193700-5,Caixas de ficheiros
1845,30193800-6,Suportes para folhas de anotação
1846,30193900-7,Cavaletes para textos
1847,30194000-5,Material para grafismo
1848,30194100-6,Réguas de curvas
1849,30194200-7,"Figuras, fitas e películas para grafismo"
1850,30194210-0,Figuras ou fitas para grafismo
1851,30194220-3,Películas para grafismo
1852,30194300-8,"Estojos, conjuntos e papel para grafismo"
1853,30194310-1,Estojos ou conjuntos para grafismo
1854,30194320-4,Papel para grafismo
1855,30194400-9,Protecções para estiradores
1856,30194500-0,Dispositivos para inserção de caracteres gráficos (lettering aids)
1857,30194600-1,Transferidores
1858,30194700-2,Modelos gráficos
1859,30194800-3,Réguas-tê e esquadros
1860,30194810-6,Réguas-tê
1861,30194820-9,Esquadros
1862,30194900-4,Protectores de superfície de trabalho
1863,30195000-2,Quadros
1864,30195100-3,Quadros de planeamento ou acessórios
1865,30195200-4,Quadros electrónicos ou acessórios
1866,30195300-5,Quadros de afixação de caracteres gráficos e acessórios
1867,30195400-6,Quadros brancos ou acessórios
1868,30195500-7,Quadros de giz ou acessórios
1869,30195600-8,Quadros electrónicos informativos (bulletin boards) ou acessórios
1870,30195700-9,Dispositivos de limpeza de quadros ou acessórios
1871,30195800-0,Guias horizontais para suspensão
1872,30195900-1,Quadros brancos e quadros magnéticos
1873,30195910-4,Quadros brancos
1874,30195911-1,Acessórios para quadros brancos
1875,30195912-8,Cavaletes para quadros brancos
1876,30195913-5,Cavaletes para quadros de folhas móveis
1877,30195920-7,Quadros magnéticos
1878,30195921-4,Apagadores para quadros magnéticos
1879,30196000-9,Sistemas de planeamento
1880,30196100-0,Sistemas de planeamento de reuniões
1881,30196200-1,Agendas ou recargas
1882,30196300-2,Caixas de sugestões
1883,30197000-6,Pequeno equipamento de escritório
1884,30197100-7,"Agrafos, tachas, percevejos"
1885,30197110-0,Agrafos
1886,30197120-3,Tachas
1887,30197130-6,Percevejos
1888,30197200-8,Classificadores de argolas e clipes
1889,30197210-1,Classificadores de argolas
1890,30197220-4,Clipes para papéis
1891,30197221-1,Suportes para clipes
1892,30197300-9,"Abridores de envelopes, agrafadores e furadores"
1893,30197310-2,Abridores de envelopes
1894,30197320-5,Agrafadores
1895,30197321-2,Arrancadores de agrafos
1896,30197330-8,Furadores
1897,30197400-0,Esponja para selos
1898,30197500-1,Lacre
1899,30197510-4,Acessórios para lacre
1900,30197600-2,Papel e cartão transformados
1901,30197610-5,Papel e cartão obtidos por colagem de folhas sobrepostas
1902,30197620-8,Papel para escrita
1903,30197621-5,Blocos de folhas A1 para conferências
1904,30197630-1,Papel para impressão
1905,30197640-4,Papel autocopiador ou para cópia
1906,30197641-1,Papel termográfico
1907,30197642-8,Papel para fotocópia e xerografia
1908,30197643-5,Papel para fotocópia
1909,30197644-2,Papel para xerografia
1910,30197645-9,Cartão para impressão
1911,30198000-3,Máquinas de lotaria
1912,30198100-4,Máquinas de içar
1913,30199000-0,Artigos de papelaria e outros artigos de papel
1914,30199100-1,"Papel químico, papel autocopiador e papel para duplicador stencil"
1915,30199110-4,Papel químico
1916,30199120-7,Papel autocopiador
1917,30199130-0,Papel para autoduplicação
1918,30199140-3,Papel para duplicador stencil
1919,30199200-2,"Sobrescritos, cartas-postais e bilhetes-postais não ilustrados"
1920,30199210-5,Cartas-postais
1921,30199220-8,Bilhetes-postais não ilustrados
1922,30199230-1,Sobrescritos
1923,30199240-4,Conjunto para envios de correio
1924,30199300-3,Papel gofrado ou perfurado
1925,30199310-6,"Papel para impressão, gofrado ou perfurado"
1926,30199320-9,"Papel para escrita, gofrado ou perfurado"
1927,30199330-2,Papel contínuo para impressoras
1928,30199340-5,Formulários em contínuo
1929,30199400-4,Papel gomado ou adesivo
1930,30199410-7,Papel autocolante
1931,30199500-5,"Arquivadores, classificadores de correspondência, caixas para armazenagem e artigos similares"
1932,30199600-6,Separadores para artigos de papelaria
1933,30199700-7,Artigos de papelaria impressos excepto formulários
1934,30199710-0,Sobrescritos impressos
1935,30199711-7,Sobrescritos com janela impressos
1936,30199712-4,Sobrescritos sem janela impressos
1937,30199713-1,Envelopes para radiografias impressos
1938,30199720-3,Papel de carta
1939,30199730-6,Cartões de visita
1940,30199731-3,Suportes para cartões de visita profissionais
1941,30199740-9,Cartões de felicitações
1942,30199750-2,Cupões
1943,30199760-5,Etiquetas
1944,30199761-2,Etiquetas com códigos de barras
1945,30199762-9,Etiquetas para bagagem
1946,30199763-6,Etiquetas anti-roubo
1947,30199770-8,Cheques-refeição
1948,30199780-1,Pastas para secretária
1949,30199790-4,Horários
1950,30199791-1,Planificadores de parede
1951,30199792-8,Calendários
1952,30199793-5,Suportes para agendas
1953,30200000-1,Equipamento e material informático
1954,30210000-4,Máquinas de processamento de dados (hardware)
1955,30211000-1,Computador mainframe
1956,30211100-2,Supercomputador
1957,30211200-3,Hardware para mainframe
1958,30211300-4,Plataformas informáticas
1959,30211400-5,Configurações informáticas
1960,30211500-6,Unidade central de processamento (UCP) ou processadora
1961,30212000-8,Hardware para minicomputador
1962,30212100-9,Unidades centrais de processamento para minicomputador
1963,30213000-5,Computadores pessoais
1964,30213100-6,Computadores portáteis
1965,30213200-7,Computadores tabulares (tablet computers)
1966,30213300-8,Computadores de secretária (desktop computers)
1967,30213400-9,Unidades centrais de processamento para computadores pessoais
1968,30213500-0,Agendas digitais (pocket computers)
1969,30214000-2,Estações de trabalho
1970,30215000-9,Hardware para microcomputador
1971,30215100-0,Unidades centrais de processamento para microcomputador
1972,30216000-6,Leitores magnéticos ou ópticos
1973,30216100-7,Leitores ópticos
1974,30216110-0,Scanners para computadores
1975,30216120-3,Equipamento de reconhecimento óptico de caracteres
1976,30216130-6,Leitores de código de barras
1977,30216200-8,Leitores de cartões magnéticos
1978,30216300-9,Leitores de cartões perfurados
1979,30220000-7,Equipamento de cartografia digital
1980,30221000-4,Mapas cadastrais digitais
1981,30230000-0,Equipamento informático
1982,30231000-7,Ecrãs e consolas de computador
1983,30231100-8,Terminais de computador
1984,30231200-9,Consolas
1985,30231300-0,Visores
1986,30231310-3,Visores de painel plano
1987,30231320-6,Monitores de ecrã táctil
1988,30232000-4,Equipamento periférico
1989,30232100-5,Impressoras e traçadores de gráficos
1990,30232110-8,Impressoras laser
1991,30232120-1,Impressoras por pontos
1992,30232130-4,Impressoras de gráficos a cores
1993,30232140-7,Traçadores de gráficos
1994,30232150-0,Impressoras de jacto de tinta
1995,30232600-0,Codificadores
1996,30232700-1,Unidade de comando central
1997,30233000-1,Dispositivos de armazenagem e leitura de conteúdos digitais
1998,30233100-2,Unidades de memória
1999,30233110-5,Unidades de memória em cartões magnéticos
2000,30233120-8,Unidades de memória em fitas magnéticas
2001,30233130-1,Unidades de memória em discos magnéticos
2002,30233131-8,Unidades de disquete
2003,30233132-5,Unidades de disco rígido
2004,30233140-4,Dispositivos de memória de acesso directo (DASD)
2005,30233141-1,Matriz redundante de discos independentes (RAID)
2006,30233150-7,Unidades de disco óptico
2007,30233151-4,Leitor e/ou gravador de discos compactos (CD)
2008,30233152-1,Leitor e/ou gravador de discos versáteis digitais (DVD)
2009,30233153-8,Leitor e/ou gravador de discos compactos (CD) e de discos versáteis digitais (DVD)
2010,30233160-0,Tape streamers
2011,30233161-7,Equipamento para tratamento de cassetes
2012,30233170-3,Unidades de carrossel
2013,30233180-6,Dispositivos de memória para memória-flash
2014,30233190-9,Controlador de discos
2015,30233300-4,Leitores de cartões inteligentes
2016,30233310-7,Leitores de impressões digitais
2017,30233320-0,Leitores combinados de cartões inteligentes e de impressões digitais
2018,30234000-8,Suportes de memória
2019,30234100-9,Discos magnéticos
2020,30234200-0,Discos ópticos
2021,30234300-1,Discos compactos (CD)
2022,30234400-2,Discos versáteis digitais (DVD)
2023,30234500-3,Meios de armazenamento de memória
2024,30234600-4,Memória-flash
2025,30234700-5,Fitas magnéticas
2026,30236000-2,Equipamento informático diverso
2027,30236100-3,Equipamento para ampliação de memória
2028,30236110-6,Memória de acesso aleatório (RAM)
2029,30236111-3,Memória dinâmica de acesso aleatório (DRAM)
2030,30236112-0,Memória estática de acesso aleatório (SRAM)
2031,30236113-7,Memória dinâmica síncrona de acesso aleatório (SDRAM)
2032,30236114-4,Memória dinâmica Rambus de acesso aleatório (RDRAM)
2033,30236115-1,Memória gráfica síncrona de acesso aleatório (SGRAM)
2034,30236120-9,Memória exclusivamente de leitura (ROM)
2035,30236121-6,"Memória exclusivamente de leitura, programável (PROM)"
2036,30236122-3,"Memória exclusivamente de leitura, programável e apagável (EPROM)"
2037,30236123-0,"Memória exclusivamente de leitura, programável e apagável electronicamente (EEPROM)"
2038,30236200-4,Equipamento para processamento de dados
2039,30237000-9,"Partes, acessórios e fornecimentos para computadores"
2040,30237100-0,Partes de computadores
2041,30237110-3,Interfaces de rede
2042,30237120-6,Portas de computadores
2043,30237121-3,Portas-série de infravermelhos
2044,30237130-9,Placas para computadores
2045,30237131-6,Cartões electrónicos
2046,30237132-3,Interfaces de barramento série universal (USB)
2047,30237133-0,Adaptadores e interfaces da Personal Computer Memory Card International Association (PCMCIA)
2048,30237134-7,Cartões aceleradores de gráficos
2049,30237135-4,Cartões para interfaces de redes
2050,30237136-1,Cartões audio
2051,30237140-2,Placas principais
2052,30237200-1,Acessórios para computadores
2053,30237210-4,Ecrãs anti-reflexo
2054,30237220-7,Tapetes para ratos
2055,30237230-0,Memórias cache
2056,30237240-3,Câmara Web
2057,30237250-6,Acessórios para limpeza de computadores
2058,30237251-3,Conjuntos para limpeza de computadores
2059,30237252-0,Aerossóis pressurizados (air dusters)
2060,30237253-7,Resguardos contra poeiras
2061,30237260-9,Braços para montagem de monitores na parede
2062,30237270-2,Pastas para transporte de computadores portáteis
2063,30237280-5,Acessórios de alimentação eléctrica
2064,30237290-8,Descansos para o pulso
2065,30237295-3,Grelhas de protecção do teclado
2066,30237300-2,Material para computadores
2067,30237310-5,Cartuchos de fontes de caracteres para impressoras
2068,30237320-8,Disquetes
2069,30237330-1,Cartuchos de bandas audionuméricas (DAT)
2070,30237340-4,Cartuchos DLT
2071,30237350-7,Cartuchos de dados
2072,30237360-0,Cartuchos LTO
2073,30237370-3,Cartuchos para gravação de discos
2074,30237380-6,CD-ROM
2075,30237400-3,Acessórios para entrada de dados
2076,30237410-6,Ratos de computador
2077,30237420-9,Joysticks
2078,30237430-2,Canetas ópticas
2079,30237440-5,Ratos de esfera
2080,30237450-8,Tabletas gráficas
2081,30237460-1,Teclados para computadores
2082,30237461-8,Teclados programáveis
2083,30237470-4,Teclados em Braille
2084,30237475-9,Sensores eléctricos
2085,30237480-7,Unidades de entrada
2086,30238000-6,Equipamento de automatização para biblioteca
2087,31000000-6,"Maquinaria, aparelhagem, equipamento e consumíveis eléctricos; iluminação"
2088,31100000-7,"Motores, geradores e transformadores eléctricos"
2089,31110000-0,Motores eléctricos
2090,31111000-7,Adaptadores
2091,31120000-3,Geradores
2092,31121000-0,Grupos geradores
2093,31121100-1,Grupos geradores de motor de ignição por compressão
2094,31121110-4,Conversores eléctricos
2095,31121111-1,Conversores rotativos eléctricos
2096,31121200-2,Grupos geradores de motor de ignição por faísca
2097,31121300-3,Geradores de energia eólica
2098,31121310-6,Moinhos de vento
2099,31121320-9,Turbinas eólicas
2100,31121330-2,Geradores de turbinas eólicas
2101,31121331-9,Rotores de turbina
2102,31121340-5,Estação eólica
2103,31122000-7,Unidades geradoras
2104,31122100-8,Pilhas a combustível
2105,31124000-1,Gerador de turbina a vapor e aparelhos afins
2106,31124100-2,Grupos geradores de turbina
2107,31124200-3,Aparelhos de comando para geradores de turbina
2108,31126000-5,Dínamos
2109,31127000-2,Geradores de emergência
2110,31128000-9,Turbogerador
2111,31130000-6,Alternadores
2112,31131000-3,Motores monofásicos
2113,31131100-4,Accionadores
2114,31131200-5,Ânodos
2115,31132000-0,Motores polifásicos
2116,31140000-9,Torres de refrigeração
2117,31141000-6,Refrigeradores de água
2118,31150000-2,Balastros para lâmpadas ou tubos de descarga
2119,31151000-9,Conversores estáticos
2120,31153000-3,Rectificadores
2121,31154000-0,Fontes de alimentação ininterruptas
2122,31155000-7,Inversores
2123,31156000-4,Fontes de alimentação interruptas
2124,31157000-1,Indutores
2125,31158000-8,Carregadores
2126,31158100-9,Carregadores de acumuladores
2127,31158200-0,Sobrealimentador
2128,31158300-1,Turbocompressor
2129,31160000-5,"Peças para motores, geradores e transformadores eléctricos"
2130,31161000-2,Partes para motores e geradores eléctricos
2131,31161100-3,Sistemas de excitação
2132,31161200-4,Sistemas de refrigeração a gás
2133,31161300-5,Rotores de geradores
2134,31161400-6,Sistemas de água bruta
2135,31161500-7,Sistemas de vedação a óleo
2136,31161600-8,Sistemas de refrigeração de estatores a água
2137,31161700-9,Peças para geradores de vapor
2138,31161800-0,Partes de geradores de gases
2139,31161900-1,Sistemas de controlo de tensão
2140,31162000-9,"Peças para transformadores, indutores e conversores estáticos"
2141,31162100-0,Peças para condensadores
2142,31170000-8,Transformadores
2143,31171000-5,Transformadores de dieléctrico líquido
2144,31172000-2,Transformadores de tensão
2145,31173000-9,Transformadores de medida
2146,31174000-6,Transformadores de alimentação
2147,31200000-8,Aparelhos de controlo e distribuição de electricidade
2148,31210000-1,Aparelhos eléctricos para ligação ou protecção de circuitos eléctricos
2149,31211000-8,Quadros e caixas de fusíveis
2150,31211100-9,Quadros de distribuição eléctrica
2151,31211110-2,Painéis de controlo
2152,31211200-0,Caixas de fusíveis
2153,31211300-1,Fusíveis
2154,31211310-4,Corta-circuitos
2155,31211320-7,Blocos de fusíveis
2156,31211330-0,Fio fusível
2157,31211340-3,Pinças porta-fusíveis
2158,31212000-5,Disjuntores
2159,31212100-6,Disjuntores para catenárias
2160,31212200-7,Aparelhos para ensaio de circuitos
2161,31212300-8,Disjuntores magnéticos
2162,31212400-9,Disjuntores miniatura
2163,31213000-2,Equipamento de distribuição
2164,31213100-3,Caixas de distribuição
2165,31213200-4,Transformadores de distribuição
2166,31213300-5,Caixa de distribuição por cabo
2167,31213400-6,Sistema de distribuição
2168,31214000-9,Comutadores
2169,31214100-0,Interruptores
2170,31214110-3,Seccionadores
2171,31214120-6,Seccionador de terra
2172,31214130-9,Interruptores de segurança
2173,31214140-2,Interruptores reguladores de luz
2174,31214150-5,Comutadores de tambor
2175,31214160-8,Comutadores de pressão (pressóstatos)
2176,31214170-1,Interruptores de báscula
2177,31214180-4,Comutadores deslizantes
2178,31214190-7,Interruptores de fim de curso
2179,31214200-1,Interruptor-seccionador
2180,31214300-2,Postos de comutação exteriores
2181,31214400-3,Seccionador com interruptor de fusíveis
2182,31214500-4,Quadros eléctricos
2183,31214510-7,Quadros de distribuição
2184,31214520-0,Quadros de distribuição de média tensão
2185,31215000-6,Limitadores de tensão
2186,31216000-3,Pára-raios
2187,31216100-4,Equipamento de protecção contra raios
2188,31216200-5,Condutores de iluminação
2189,31217000-0,Eliminadores de onda
2190,31218000-7,Barras colectoras
2191,31219000-4,Caixas de protecção
2192,31220000-4,Componentes de circuitos eléctricos
2193,31221000-1,Relés eléctricos
2194,31221100-2,Relés de potência
2195,31221200-3,Relés de uso geral
2196,31221300-4,Relés sobre base
2197,31221400-5,Relés de tensão alterna
2198,31221500-6,Relés de mercúrio
2199,31221600-7,Relés temporizados
2200,31221700-8,Relés de sobrecarga
2201,31223000-5,Suportes para lâmpadas
2202,31224000-2,Conexões e elementos de contacto
2203,31224100-3,"Tomadas de corrente, machos e fêmeas"
2204,31224200-4,Conectores coaxiais
2205,31224300-5,Caixas de ligação
2206,31224400-6,Cabos de ligação
2207,31224500-7,Terminais
2208,31224600-8,Reóstatos
2209,31224700-9,Caixas de junção
2210,31224800-0,Kits de junção de cabos
2211,31224810-3,Cabos de extensão
2212,31230000-7,Peças para aparelhos de controlo ou distribuição de electricidade
2213,31300000-9,Fios e cabos isolados
2214,31310000-2,Linhas de alimentação
2215,31311000-9,Conexões para linhas de alimentação
2216,31320000-5,Cabos de distribuição de energia eléctrica
2217,31321000-2,Linhas de electricidade
2218,31321100-3,Linhas eléctricas suspensas
2219,31321200-4,Cabos de média e baixa tensão
2220,31321210-7,Cabos de baixa tensão
2221,31321220-0,Cabos de média tensão
2222,31321300-5,Cabos de alta tensão
2223,31321400-6,Cabos subaquáticos
2224,31321500-7,Cabos submarinos
2225,31321600-8,Cabos blindados
2226,31321700-9,Cabos para sinalização
2227,31330000-8,Cabos coaxiais
2228,31340000-1,"Acessórios para cabos, isolados"
2229,31341000-8,"Carretéis para cabos, isolados"
2230,31342000-5,"Junções para cabos, isoladas"
2231,31343000-2,"Juntas para cabos, isoladas"
2232,31344000-9,"Caixas de empanque para cabos, isoladas"
2233,31350000-4,Condutores eléctricos para fins relacionados com controlo e dados
2234,31351000-1,Condutores eléctricos para sistemas de controlo de acessos
2235,31400000-0,"Acumuladores, pilhas e baterias eléctricas"
2236,31410000-3,Pilhas eléctricas
2237,31411000-0,Pilhas alcalinas
2238,31420000-6,Baterias primárias
2239,31421000-3,Baterias de chumbo
2240,31422000-0,Pacotes de baterias
2241,31430000-9,Acumuladores eléctricos
2242,31431000-6,Acumuladores de chumbo-ácido
2243,31432000-3,Acumuladores de níquel-cádmio
2244,31433000-0,Acumuladores de níquel-ferro
2245,31434000-7,Acumuladores de lítio
2246,31440000-2,Baterias
2247,31500000-1,Equipamento para iluminação e lâmpadas eléctricas
2248,31510000-4,Lâmpadas eléctricas de incandescência
2249,31511000-1,Faróis em unidades seladas
2250,31512000-8,"Lâmpadas halogéneas de incandescência, de tungsténio"
2251,31512100-9,"Lâmpadas de halogéneo, lineares"
2252,31512200-0,"Lâmpadas de halogéneo, de dois pinos"
2253,31512300-1,"Lâmpadas de halogéneo, dicróicas"
2254,31514000-2,Lâmpadas de descarga
2255,31515000-9,Lâmpadas de raios ultravioleta
2256,31516000-6,Lâmpadas de raios infravermelhos
2257,31517000-3,Lâmpadas de arco
2258,31518000-0,Luzes de sinalização
2259,31518100-1,Holofotes
2260,31518200-2,Equipamento de iluminação de emergência
2261,31518210-5,Candeeiros portáteis+B5855
2262,31518220-8,Varetas luminosas
2263,31518300-3,Luzes de tecto
2264,31518500-5,Lâmpadas de vapor de mercúrio
2265,31518600-6,Projectores de luz
2266,31519000-7,Lâmpadas incandescentes e a néon
2267,31519100-8,Lâmpadas incandescentes
2268,31519200-9,Lâmpadas a néon
2269,31520000-7,Candeeiros e acessórios para iluminação
2270,31521000-4,Candeeiros
2271,31521100-5,Candeeiros de escritório
2272,31521200-6,Candeeiros de pé
2273,31521300-7,Lanternas eléctricas portáteis
2274,31521310-0,Luzes de aviso
2275,31521320-3,Lanternas portáteis
2276,31521330-6,Lâmpadas eléctricas recarregáveis portáteis
2277,31522000-1,Guirlandas eléctricas para árvores de Natal
2278,31523000-8,Placas sinaléticas e sinais luminosos
2279,31523100-9,Luzes néon para anúncios
2280,31523200-0,Sinais de mensagens permanentes
2281,31523300-1,Placas sinaléticas luminosas
2282,31524000-5,"Acessórios para iluminação, de tecto ou de parede"
2283,31524100-6,"Acessórios para iluminação, de tecto"
2284,31524110-9,Lâmpadas para blocos operatórios
2285,31524120-2,Candeeiros de tecto
2286,31524200-7,"Acessórios para iluminação, de parede"
2287,31524210-0,Candeeiros de parede
2288,31527000-6,Focos
2289,31527200-8,Dispositivos de iluminação exterior
2290,31527210-1,Lanternas
2291,31527260-6,Sistemas de iluminação
2292,31527270-9,Dispositivos de iluminação para plataformas
2293,31527300-9,Dispositivos de iluminação doméstica
2294,31527400-0,Luzes subaquáticas
2295,31530000-0,Peças para candeeiros e equipamento para iluminação
2296,31531000-7,Lâmpadas
2297,31531100-8,Lâmpadas eléctricas
2298,31532000-4,Peças para candeeiros e acessórios para iluminação
2299,31532100-5,Lâmpadas tubulares (tubos)
2300,31532110-8,Lâmpadas tubulares fluorescentes
2301,31532120-1,Tubos fluorescentes compactos
2302,31532200-6,Lâmpadas anelares (anéis)
2303,31532210-9,Anéis fluorescentes
2304,31532300-7,Lâmpadas globulares (globos)
2305,31532310-0,Globos fluorescentes compactos
2306,31532400-8,Casquilhos para lâmpadas
2307,31532500-9,Iniciadores para lâmpadas
2308,31532510-2,Iniciadores para lâmpadas fluorescentes
2309,31532600-0,Reactores de lâmpada
2310,31532610-3,Reactores para lâmpadas fluorescentes
2311,31532700-1,Protectores para lâmpadas
2312,31532800-2,Armações para lâmpadas
2313,31532900-3,Lâmpadas fluorescentes
2314,31532910-6,Tubos fluorescentes
2315,31532920-9,Ampolas e lâmpadas fluorescentes
2316,31600000-2,Equipamento e aparelhos eléctricos
2317,31610000-5,Equipamento eléctrico para motores e veículos
2318,31611000-2,Jogos de fios
2319,31612000-9,Instalações eléctricas para motores
2320,31612200-1,Motores de arranque
2321,31612300-2,Equipamento eléctrico de sinalização para motores
2322,31612310-5,Faróis intermitentes
2323,31620000-8,Aparelhos de sinalização acústica ou visual
2324,31625000-3,Alarmes contra roubo e incêndios
2325,31625100-4,Sistemas de detecção de incêndios
2326,31625200-5,Sistemas de alarme contra incêndios
2327,31625300-6,Sistemas de alarme contra roubo
2328,31630000-1,Ímanes
2329,31640000-4,Máquinas e aparelhos para usos específicos
2330,31642000-8,Aparelhos electrónicos de detecção
2331,31642100-9,Aparelhos detectores de tubos metálicos
2332,31642200-0,Aparelhos detectores de minas
2333,31642300-1,Aparelhos detectores de plástico
2334,31642400-2,Aparelhos detectores de objectos não metálicos
2335,31642500-3,Aparelhos detectores de madeira
2336,31643000-5,Aceleradores de partículas
2337,31643100-6,Aceleradores lineares
2338,31644000-2,Registadores diversos de dados
2339,31645000-9,Máquinas de flippers
2340,31650000-7,Elementos isoladores
2341,31651000-4,Fita isolante
2342,31660000-0,Eléctrodos de carvão
2343,31670000-3,Peças eléctricas para máquinas ou aparelhos
2344,31671000-0,Invólucros de vidro e tubos catódicos
2345,31671100-1,Invólucros de vidro
2346,31671200-2,Tubos catódicos
2347,31680000-6,Aparelhos e acessórios eléctricos
2348,31681000-3,Acessórios eléctricos
2349,31681100-4,Contactos eléctricos
2350,31681200-5,Bombas eléctricas
2351,31681300-6,Circuitos eléctricos
2352,31681400-7,Componentes eléctricos
2353,31681410-0,Materiais eléctricos
2354,31681500-8,Recargas
2355,31682000-0,Material para electricidade
2356,31682100-1,Caixas para electricidade
2357,31682110-4,Protecções para caixas de electricidade
2358,31682200-2,Painéis de instrumentos
2359,31682210-5,Equipamento de instrumentação e de comando
2360,31682220-8,Quadros misturadores
2361,31682230-1,Painéis de visualização
2362,31682300-3,Equipamento de média tensão
2363,31682310-6,Painéis de média tensão
2364,31682400-4,Equipamento eléctrico suspenso
2365,31682410-7,Postes para catenárias
2366,31682500-5,Equipamento eléctrico de emergência
2367,31682510-8,Sistemas eléctricos de emergência
2368,31682520-1,Sistemas de paragem de emergência
2369,31682530-4,Fontes de alimentação de emergência
2370,31682540-7,Equipamento de subestação
2371,31700000-3,"Material electrónico, electromecânico e electrotécnico"
2372,31710000-6,Equipamento electrónico
2373,31711000-3,Material electrónico
2374,31711100-4,Componentes electrónicos
2375,31711110-7,Emissores-receptores
2376,31711120-0,Transdutores
2377,31711130-3,Resistências
2378,31711131-0,Resistências eléctricas
2379,31711140-6,Eléctrodos
2380,31711150-9,Condensadores eléctricos
2381,31711151-6,Condensadores fixos
2382,31711152-3,Condensadores variáveis ou ajustáveis
2383,31711154-0,Baterias de condensadores
2384,31711155-7,Redes de condensadores
2385,31711200-5,Quadros electrónicos para indicação de pontuações
2386,31711300-6,Sistemas electrónicos de cronometragem
2387,31711310-9,Sistema de registo de presenças
2388,31711400-7,Válvulas e tubos
2389,31711410-0,Tubos catódicos para receptores de televisão
2390,31711411-7,Tubos para câmaras de televisão
2391,31711420-3,Tubos e equipamento para microondas
2392,31711421-0,Magnetrões
2393,31711422-7,Equipamento para microondas
2394,31711423-4,Equipamento de feixes de microondas
2395,31711424-1,Clistrões
2396,31711430-6,Válvulas eléctricas
2397,31711440-9,Válvulas e tubos de recepção ou de amplificação
2398,31711500-8,Peças para montagens electrónicas
2399,31711510-1,Peças para condensadores eléctricos
2400,31711520-4,"Peças para resistências, reóstatos e potenciómetros eléctricos"
2401,31711530-7,Peças para válvulas e tubos electrónicos
2402,31712000-0,Máquinas e aparelhos microelectrónicos e microssistemas
2403,31712100-1,Máquinas e aparelhos microelectrónicos
2404,31712110-4,Micromontagens e circuitos integrados electrónicos
2405,31712111-1,Cartões telefónicos
2406,31712112-8,Cartões SMI
2407,31712113-5,Cartões com circuitos integrados
2408,31712114-2,Circuitos electrónicos integrados
2409,31712115-9,Micromontagens
2410,31712116-6,Microprocessadores
2411,31712117-3,Pacotes de circuitos integrados
2412,31712118-0,Suportes ou bases para circuitos integrados
2413,31712119-7,Coberturas para circuitos integrados
2414,31712200-2,Microssistemas
2415,31712300-3,Circuitos impressos
2416,31712310-6,Placas de circuitos impressos de alta densidade
2417,31712320-9,Placas de circuitos impressos de baixa densidade
2418,31712330-2,Semicondutores
2419,31712331-9,Células fotovoltaicas
2420,31712332-6,Tiristores
2421,31712333-3,Diacs (tiristores díodos bidireccionais)
2422,31712334-0,Triacs (tiristores tríodos bidireccionais)
2423,31712335-7,Isoladores ópticos acoplados
2424,31712336-4,Osciladores de quartzo
2425,31712340-5,Díodos
2426,31712341-2,Díodos emissores de luz
2427,31712342-9,Díodos para microondas ou sinais fracos
2428,31712343-6,Díodos Zener
2429,31712344-3,Díodos Schottky
2430,31712345-0,Díodos de túnel
2431,31712346-7,Díodos fotossensíveis
2432,31712347-4,Díodos de potência ou solares
2433,31712348-1,Díodos laser
2434,31712349-8,Díodos de radiofrequência (RF)
2435,31712350-8,Transístores
2436,31712351-5,Transístores fotossensíveis
2437,31712352-2,Transístores de efeito de campo (TEC)
2438,31712353-9,Transístores de efeito de campo de óxido metálico (MOSFET)
2439,31712354-6,Pastilhas de transístor
2440,31712355-3,Transístores Darlington bipolares ou de radiofrequência (RF)
2441,31712356-0,Transístores de unijunção
2442,31712357-7,Transístores bipolares de porta isolada (IGBT)
2443,31712358-4,Transístores de efeito de campo de junção (JFET)
2444,31712359-1,Transístores bipolares de junção (BJT)
2445,31712360-1,Cristais piezoeléctricos montados
2446,31720000-9,Equipamento electromecânico
2447,31730000-2,Equipamento electrotécnico
2448,31731000-9,Material electrotécnico
2449,31731100-0,Módulos
2450,32000000-3,"Equipamento de rádio, televisão, comunicação, telecomunicações e afins"
2451,32200000-5,"Aparelhos emissores para radiotelefonia, radiotelegrafia, radiodifusão e televisão"
2452,32210000-8,Equipamento de difusão
2453,32211000-5,Equipamento para produção de emissões
2454,32220000-1,Aparelhos emissores de televisão sem receptor incorporado
2455,32221000-8,Radiofaróis
2456,32222000-5,Máquinas para codificação de sinais de vídeo
2457,32223000-2,Aparelhos emissores de vídeo
2458,32224000-9,Aparelhos emissores de televisão
2459,32230000-4,Aparelhos emissores de rádio com receptor incorporado
2460,32231000-1,Aparelhos de televisão de circuito fechado
2461,32232000-8,Equipamento para videoconferências
2462,32233000-5,Estações amplificadoras de frequências de rádio
2463,32234000-2,Câmaras de televisão de circuito fechado
2464,32235000-9,Sistema de vigilância de circuito fechado
2465,32236000-6,Radiotelefones
2466,32237000-3,Walkie-talkies
2467,32240000-7,Câmaras de televisão
2468,32250000-0,Telefones móveis
2469,32251000-7,Telefones para veículos
2470,32251100-8,Conjunto mãos-livres
2471,32252000-4,Telefones GSM
2472,32252100-5,Telemóveis mãos livres
2473,32252110-8,Telemóveis mãos livres (sem fios)
